seller_rank,sellerID,state,total_orders,revenue,revenue_pct
1,4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,247007.06,1.6
2,7c67e1448b00f6e969d365cea6b010ab,SP,973,237806.69,1.54
3,4a3ca9315b744ce9f8e9374361493884,SP,1772,231220.43,1.5
4,53243585a1d6dc2643021fd1853d8905,BA,348,230797.02,1.5
5,fa1c13f2614d7b5c4749cbc52fecda94,SP,578,200833.5,1.3
6,da8622b14eb17ae2831f4ac5b9dab84a,SP,1311,184706.78,1.2
7,7e93a43ef30c4f03f38b393420bc753a,SP,319,171973.55,1.12
8,1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,171924.96,1.11
9,7a67c85e85bb2ce8582c35f2203ad736,SP,1145,160278.52,1.04
10,955fee9216a65b617aa5c0531780ce60,SP,1261,156606.48,1.02
